ID                                                 Maquina                                                                                              saccod1 alto        ventana     FechaInicio            FechaFin               TotalOrdenes TotalHorasProgPrep     TotalHorasProgProd     HorasReales                             DiferenciaTotalHoras
-------------------------------------------------- ---------------------------------------------------------------------------------------------------- ------- ----------- ----------- ---------------------- ---------------------- ------------ ---------------------- ---------------------- --------------------------------------- ----------------------
13647                                              201                                                                                                  66/3    0           0           45293.2513657407       45293.5787847222       4026         49.5624999999998       685.487500102206       7.858055                                -727.191945102206
13837                                              201                                                                                                  661     0           0           45293.5787847222       45293.7535069444       60           0.861111111111112      1.86111111111111       4.193333                                1.47111077777778
13838                                              201                                                                                                  661     0           0           45293.7535069444       45293.822650463        45           0.739583333333332      2.85416666666667       1.659722                                -1.934028
13839                                              201                                                                                                  661     0           0           45293.822650463        45293.8637384259       78           1.20972222222222       4.53194444444445       0.985833                                -4.75583366666667
13840                                              201                                                                                                  661     0           0           45293.8637384259       45294.3065509259       84           0.933333333333331      3.5                    10.627500                               6.19416666666666
13841                                              201                                                                                                  661     0           0           45294.3065509259       45294.3497337963       64           0.666666666666666      2.54444444444444       1.036666                                -2.17444511111111
13842                                              201                                                                                                  661     0           0           45294.3497337963       45294.3801273148       21           0.126388888888889      0.495833333333333      0.729166                                0.106943777777778
13843                                              201                                                                                                  661     0           0           45294.3801273148       45294.4112615741       45           0.302083333333333      1.17708333333333       0.747500                                -0.731666666666667
13844                                              201                                                                                                  661     0           0           45294.4112615741       45294.4584375          48           0.666666666666666      2.54444444444444       1.131944                                -2.07916711111111
13845                                              201                                                                                                  641     0           0           45294.4584375          45294.5302083333       33           0.450694444444445      0.106944444444444      1.722500                                1.16486111111111
13846                                              201                                                                                                  641     0           0           45294.5302083333       45294.5813657407       27           1.81875                1.25625                1.227777                                -1.847223
13847                                              201                                                                                                  473     0           0           45294.5813657407       45294.6872106481       24           0.8125                 0.620833333333333      2.540277                                1.10694366666667
13848                                              201                                                                                                  473     0           0           45294.6872106481       45294.7111458333       24           0.905555555555556      0.688888888888889      0.574444                                -1.02000044444444
13831                                              201                                                                                                          0           0           45294.7111458333       45297.3209259259       7830         299.062499999988       1453.62499999998       62.634722                               -1690.05277799997
13855                                              201                                                                                                  728     0           0           45296.8694560185       45297.4717361111       116          7.85416666666668       9.50555555555555       14.454722                               -2.90500022222223
13852                                              201                                                                                                  727     0           0           45297.4717361111       45299.7392824074       1120         60.6666666666662       158.044444444443       54.421111                               -164.290000111109
13556                                              201                                                                                                  583     0           0           45299.7392939815       45301.6795138889       6885         92.4345486184221       1414.80138965411       46.565277                               -1460.67066127253
13828                                              201                                                                                                          0           0           45306.2547569444       45307.3782523148       630          37.5                   133.1875               26.963888                               -143.723612
13829                                              201                                                                                                          0           0           45306.8971412037       45307.4574884259       385          22.9166666666667       58.6666666666667       13.448333                               -68.1350003333334
13827                                              201                                                                                                          0           0           45307.0006018519       45307.493125           288          15                     48.8795833350102       11.820555                               -52.0590283350101
13849                                              201                                                                                                  669     0           0           45307.493125           45307.7815856481       504          18.375                 55.2999999999997       6.922777                                -66.7522229999997
13856                                              201                                                                                                  675     0           0           45307.7815856481       45308.0357175926       206          19.3125                19.5986111111111       6.099444                                -32.8116671111111
13880                                              201                                                                                                  665     0           0           45308.0357175926       45308.2715393519       168          15.75                  36.75                  5.659722                                -46.8402779999999
13881                                              201                                                                                                  665     0           0           45308.2715393519       45308.3996990741       144          13.5                   31.5                   3.075833                                -41.924167
13887                                              201                                                                                                  665     0           0           45308.3996990741       45308.4498611111       24           1.75                   0.5                    1.203611                                -1.046389
13882                                              201                                                                                                  671     0           0           45308.4498611111       45308.5807986111       78           5.68750000000001       5.95833333333334       3.142500                                -8.50333333333335
13883                                              201                                                                                                  671     0           0           45308.5807986111       45308.6325462963       16           1.33333333333333       1.33333333333333       1.242222                                -1.42444466666667
13873                                              201                                                                                                  730     0           0           45308.6325462963       45308.7043055556       16           1.16666666666667       0.144444444444444      1.722222                                0.411110888888889
13869                                              201                                                                                                  729     0           0           45308.7043055556       45308.8465856481       108          7.5                    1.35                   3.414444                                -5.435556
13861                                              201                                                                                                  646     0           0           45308.8465856481       45309.0010648148       175          5.10416666666667       7.04861111111112       3.707500                                -8.44527777777779
13825                                              201                                                                                                  725     0           0           45309.0010648148       45309.1777199074       165          16.0416666666666       16.4618055555555       4.239722                                -28.2637502222221
13725                                              201                                                                                                  468     0           0           45309.1777199074       45309.7108680556       624          13.2888888888889       39.9388888888888       12.795833                               -40.4319447777777
13876                                              201                                                                                                  437     0           0           45309.7108680556       45309.9322800926       186          15.5                   31.6027777777778       5.313888                                -41.7888897777777
13886                                              201                                                                                                  484     0           0           45309.9322800926       45310.2106712963       620          29.0624999999999       34.2291666666666       6.681388                                -56.6102786666664
13879                                              201                                                                                                  362-2   0           0           45310.2106828704       45310.3969212963       124          7.75000000000001       7.66388888888889       4.469722                                -10.9441668888889
13823                                              201                                                                                                  724     0           0           45310.3969212963       45310.6111921296       336          14                     8.75000000000001       5.142222                                -17.607778
13822                                              201                                                                                                  724     0           0           45310.6112037037       45310.6737384259       88           5.5                    2.97916666666667       1.500833                                -6.97833366666667
13870                                              201                                                                                                  731     0           0           45310.6737384259       45311.2158449074       2007         37.1666666666667       352.463888888891       13.010555                               -376.620000555558
13865                                              201                                                                                                  735     0           0           45311.2158564815       45313.5739236111       825          25.6666666666668       120.767013906164       56.593333                               -89.8403475728306
13866                                              201                                                                                                  735     0           0           45313.5739236111       45313.784837963        336          11.0444444444445       55.5333333333333       5.062222                                -61.5155557777777
13868                                              201                                                                                                  735     0           0           45313.784849537        45313.8188194444       32           0.111111111111111      0.566666666666667      0.815277                                0.137499222222222
13867                                              201                                                                                                  735     0           0           45313.8188194444       45314.4934490741       895          15.1652777777779       76.0750000000002       16.191388                               -75.0488897777781
13890                                              201                                                                                                  624     0           0           45314.4934490741       45314.6792592593       150          5.625                  3.41666666666667       4.459444                                -4.58222266666667
13878                                              201                                                                                                  733     0           0           45314.6792592593       45315.4403240741       1085         38.7499999999998       160.597222222224       18.265555                               -181.081667222224
13929                                              201                                                                                                  738     0           0           45324.1918865741       45324.4577314815       320          21.6666666666667       43.0555555555555       6.380277                                -58.3419452222222
13898                                              201                                                                                                  736     0           0           45324.4577314815       45324.7825347222       368          26.8333333333334       60.7583333333333       7.795000                                -79.7966666666667
13899                                              201                                                                                                  736     0           0           45324.7825347222       45324.8384259259       168          12.25                  21.875                 1.341388                                -32.783612
13884                                              201                                                                                                  495     0           0           45324.8384259259       45325.0695138889       468          17.875                 42.2499999999999       5.546388                                -54.5786119999999
13885                                              201                                                                                                  698     0           0           45325.0695138889       45327.326712963        372          20.3437500000001       28.2874999999999       54.172777                               5.54152700000002
13892                                              201                                                                                                  689     0           0           45327.326712963        45327.517662037        132          6.41666666666667       7.82222222222221       4.582500                                -9.65638888888888
13893                                              201                                                                                                  116     0           0           45327.517662037        45327.798900463        213          23.6666666666667       66.9569444444445       6.750000                                -83.8736111111112
13894                                              201                                                                                                  116     0           0           45327.798912037        45327.9896412037       344          28.6666666666667       87.1944444444438       4.577500                                -111.283611111111
13895                                              201                                                                                                  116     0           0           45327.9896412037       45328.0997222222       456          38                     116.691666666666       2.641944                                -152.049722666666
13901                                              201                                                                                                  114     0           0           45328.0997337963       45328.2443055556       144          6.75000000000001       2.35                   3.469722                                -5.63027800000001
13900                                              201                                                                                                  114     0           0           45328.2443055556       45328.3249074074       36           3.5                    3.86666666666667       1.934166                                -5.43250066666666
13863                                              201                                                                                                  734     0           0           45328.3249074074       45328.5670486111       195          12.1875                9.9395833333333        5.811388                                -16.3156953333333
13862                                              201                                                                                                  732     0           0           45328.5670486111       45328.753900463        100          6.25                   10.1215277777778       4.484722                                -11.8868057777778
13875                                              201                                                                                                  362/2   0           0           45328.753900463        45331.0769212963       4992         52                     227.933333333332       55.752500                               -224.180833333332
13913                                              201                                                                                                  737     0           0           45329.3030324074       45329.6045717593       415          24.2083333333334       65.8812500000001       7.237222                                -82.8523613333335
13910                                              201                                                                                                  6       0           0           45329.6045833333       45330.0453125          2916         75.9375000000002       738.28125              10.577500                               -803.64125
13912                                              201                                                                                                  6       0           0           45330.0453240741       45330.0858449074       380          23.7500000000001       189.261111111111       0.972222                                -212.038889111112
13920                                              201                                                                                                          0           0           45330.3955787037       45330.5631018519       114          9.5                    10.2388888888889       4.020833                                -15.7180558888889
13924                                              201                                                                                                          0           0           45330.5631134259       45330.5821527778       36           2.125                  0.925                  0.457222                                -2.592778
13925                                              201                                                                                                          0           0           45330.5821527778       45330.5976736111       36           2.125                  0.925                  0.372222                                -2.677778
13921                                              201                                                                                                          0           0           45330.5976736111       45330.6975462963       45           3.75                   3.03125                2.397222                                -4.384028
13917                                              201                                                                                                          0           0           45330.6975462963       45330.8037847222       123          10.25                  8.59861111111111       2.549444                                -16.2991671111111
13928                                              201                                                                                                          0           0           45330.8037847222       45330.9130902778       90           6.85416666666666       6.50000000000001       2.623611                                -10.7305556666667
13926                                              201                                                                                                          0           0           45330.9130902778       45330.93125            21           0.870138888888888      0.243055555555556      0.435833                                -0.677361444444444
13927                                              201                                                                                                          0           0           45330.93125            45330.9518055556       57           2.36180555555556       0.659722222222222      0.493333                                -2.52819477777778
13937                                              201                                                                                                  451     0           0           45331.0769328704       45346.2395717593       346          17.9447453650595       33.5788193709058       363.903333                              312.379768264035
13930                                              201                                                                                                          0           0           45331.3066203704       45331.4973958333       92           6.22916666666667       7.12361111111111       4.578333                                -8.77444477777778
13931                                              201                                                                                                          0           0           45331.4973958333       45331.9624305556       970          52.5416666666664       232.261111111112       11.161111                               -273.641666777778
13911                                              201                                                                                                  6       0           0           45337.2500347222       45337.3839930556       294          13.125                 40.6291666666667       3.215277                                -50.5388896666667
13891                                              201                                                                                                  673     0           0           45337.3839930556       45337.4847916667       441          18.375                 6.78125                2.419166                                -22.737084
13936                                              201                                                                                                  663     0           0           45337.4847916667       45344.922650463        1554         75.5416666666652       103.779861111114       178.508611                              -0.812916777778895
13915                                              201                                                                                                  593     0           0           45337.6883449074       45338.7384606482       100          8.33333333333334       8.47222222222222       25.203055                               8.39749944444444
13909                                              201                                                                                                  6       0           0           45338.2525810185       45338.6149768519       1863         43.1249999999996       106.949999999999       8.697777                                -141.377222999999
13932                                              201                                                                                                          0           0           45338.7384606482       45338.850625           22           1.375                  0.595833333333334      2.691666                                0.720832666666666
13933                                              201                                                                                                          0           0           45338.850625           45339.3709490741       108          4.5                    1.95                   12.488055                               6.038055
13934                                              201                                                                                                          0           0           45339.3709490741       45339.4790625          40           1.25                   1.68055555555556       2.594722                                -0.335833555555555
13919                                              201                                                                                                  604     0           0           45339.4790625          45341.3399305556       160          3.66666666666666       9.06666666666667       44.660833                               31.9274996666667
13935                                              201                                                                                                  743     0           0           45341.3399305556       45341.4760185185       84           6.41666666666667       10.7916666666667       3.265833                                -13.9425003333333
13938                                              201                                                                                                  68      0           0           45344.1254861111       45344.4631597222       609          59.2083333333329       93.0416666666668       8.104166                                -144.145834
13941                                              201                                                                                                          0           0           45344.4631712963       45344.7499884259       565          28.2500000000001       76.7458333333333       6.883333                                -98.1125003333334
13944                                              201                                                                                                  335     0           0           45344.922650463        45345.1850115741       210          9.625                  13.65                  6.296666                                -16.978334
13945                                              201                                                                                                  348     0           0           45345.1850231482       45345.5650231481       565          30.6041666666668       134.658333333333       9.119722                                -156.142778
13946                                              201                                                                                                          0           0           45345.876087963        45346.0018981481       75           6.77083333333333       1.54513888888889       3.019166                                -5.29680622222222
13940                                              201                                                                                                          0           0           45348.2520486111       45348.8312962963       4056         78.0451388973598       835.141666666674       13.902222                               -899.284583564034
13949                                              201                                                                                                          0           0           45348.8313078704       45349.3728935185       372          19.375                 33.51875               12.997777                               -39.895973
13954                                              201                                                                                                          0           0           45349.3728935185       45349.4636226852       78           5.41666666666667       14.3541666666667       2.177777                                -17.5930563333333
13947                                              201                                                                                                          0           0           45349.4636342593       45349.8615740741       795          16.5625                34.78125               9.550555                                -41.793195
13950                                              201                                                                                                          0           0           45350.2514699074       45350.4362731481       102          10.625                 4.46250000000001       4.435277                                -10.652223
13951                                              201                                                                                                          0           0           45350.4362731481       45350.6121875          128          13.3333333333333       5.60000000000001       4.222222                                -14.7111113333333
13943                                              201                                                                                                          0           0           45350.6121875          45351.4170486111       413          24.5833333333334       22.0840277777779       19.316388                               -27.3509731111112
13987                                              201                                                                                                  461/2   0           0           45356.0671643519       45356.276724537        246          17.0833333333333       53.3569444444444       5.029166                                -65.4111117777777
13967                                              201                                                                                                  639     0           0           45356.2767361111       45356.3759490741       30           1.80555555555555       1.45138888888889       2.381388                                -0.875556444444444
13968                                              201                                                                                                  639     0           0           45356.3759490741       45356.4210300926       12           0.566666666666667      0.302777777777778      1.081944                                0.212499555555555
13969                                              201                                                                                                  639     0           0           45356.4210300926       45356.4521527778       60           2.68055555555555       1.23611111111111       0.746944                                -3.16972266666666
13978                                              201                                                                                                  633     0           0           45356.4521527778       45356.572974537        108          6.05                   7.6                    2.899444                                -10.750556
13980                                              201                                                                                                  633     0           0           45356.572974537        45356.6040856481       63           2.50833333333333       1.25416666666667       0.746666                                -3.015834
13979                                              201                                                                                                  633     0           0           45356.6040856481       45356.6639351852       72           4.03333333333333       5.06666666666667       1.436666                                -7.663334
13970                                              201                                                                                                  695     0           0           45356.6639351852       45356.8339467593       141          8.32291666666666       13.3493055555556       4.080277                                -17.5919452222222
13971                                              201                                                                                                  695     0           0           45356.8339467593       45356.9366319444       159          6.62500000000001       6.03611111111111       2.464166                                -10.1969451111111
13962                                              201                                                                                                  631     0           0           45356.9366319444       45357.0308217593       48           3                      2.5                    2.260833                                -3.239167
13958                                              201                                                                                                  643     0           0           45357.0308217593       45357.1080671296       44           2.75                   1.97083333333333       1.853611                                -2.86722233333333
13972                                              201                                                                                                  435     0           0           45357.1080671296       45357.2197916667       36           1.61666666666667       2.16666666666667       2.681666                                -1.10166733333333
13973                                              201                                                                                                  435     0           0           45357.2197916667       45357.2767013889       84           3.53888888888889       3.65555555555556       1.365833                                -5.82861144444444
13974                                              201                                                                                                  435     0           0           45357.2767013889       45357.4034606482       294          16.1972222222221       34.4361111111111       3.042222                                -47.5911113333332
13975                                              201                                                                                                  435     0           0           45357.4034606482       45357.4884606482       136          5.09999999999998       8.99583333333332       2.040000                                -12.0558333333333
13977                                              201                                                                                                  435     0           0           45357.4884606482       45357.5186921296       57           2.11111111111111       0.989583333333334      0.725277                                -2.37541744444445
13976                                              201                                                                                                  435     0           0           45357.5187037037       45357.6058564815       312          11.0500000000001       17.2791666666667       2.091944                                -26.2372226666667
13965                                              201                                                                                                          0           0           45357.6058680556       45357.7277662037       84           4.65694444444444       2.86805555555555       2.925277                                -4.599723
13959                                              201                                                                                                  632     0           0           45357.7277662037       45357.8903125          128          8.00000000000001       8.62222222222222       3.901111                                -12.7211112222222
13966                                              201                                                                                                  473     0           0           45357.8903125          45357.9982986111       48           4                      3.93333333333333       2.591666                                -5.34166733333333
13961                                              201                                                                                                  641     0           0           45357.9982986111       45358.0881018518       18           1.5                    1.14166666666667       2.155277                                -0.486389666666667
13956                                              201                                                                                                  638     0           0           45358.0881018518       45358.2442476852       66           5.5                    6.63055555555556       3.747777                                -8.38277855555556
13964                                              201                                                                                                  746     0           0           45358.2442476852       45358.3665625          57           2.77083333333333       0.475                  2.935277                                -0.310556333333333
13998                                              201                                                                                                  663     0           0           45358.3665625          45358.5729861111       258          14.3333333333333       10.3916666666667       4.954166                                -19.770834
13953                                              201                                                                                                          0           0           45358.5729861111       45358.8024768519       648          47.2500000000002       127.799999999999       5.508055                                -169.541945
13997                                              201                                                                                                  652     0           0           45358.8024884259       45359.3783564815       2740         148.416666666667       485.208333333322       13.821111                               -619.803888999989
13985                                              201                                                                                                          0           0           45359.3783564815       45360.0587037037       1785         69.0624999999997       189.125000000001       16.328055                               -241.859445000001
13986                                              201                                                                                                          0           0           45360.0587037037       45362.3615277778       1134         70.8749999999999       467.775000000001       55.268055                               -483.381945000001
13983                                              201                                                                                                  484     0           0           45362.3613773148       45362.8278240741       656          47.8333333333332       92.2499999999998       11.195000                               -128.888333333333
13984                                              201                                                                                                          0           0           45363.5203125          45364.1069791667       1205         90.3750000000006       667.770833333333       14.080277                               -744.065556333333
14007                                              201                                                                                                          0           0           45364.1069791667       45364.307349537        332          0                      22.2486111111111       4.808611                                -17.4400001111111
14003                                              201                                                                                                  734     0           0           45364.593587963        45364.8230439815       316          26.3333333333334       362.083333333334       5.506944                                -382.909722666667
14006                                              201                                                                                                          0           0           45364.8230439815       45365.2306018519       720          41.9999999999999       710.2                  9.781388                                -742.418612
14004                                              201                                                                                                  734     0           0           45365.7916550926       45366.6451273148       2898         77.6249999999998       452.525000000004       20.483055                               -509.666945000003
14033                                              201                                                                                                  734     0           0           45366.6451273148       45366.8960648148       600          29.6666666666668       49.1666666666669       6.022500                                -72.8108333333337
14037                                              201                                                                                                  734     0           0           45366.8960648148       45371.9156828704       4836         151.124999999996       1220.7541666667        120.471111                              -1251.4080556667
14034                                              201                                                                                                  734     0           0           45369.453125           45369.5695833333       128          8.33333333333334       72.7777777777778       2.794722                                -78.3163891111111
